RVel,orb_phase,RVel_err
2.42,-0.23693731329208845,3.65
8.54,-0.14616910408994954,4.72
-3.81,-0.05121718984688073,4.4
-2.46,0.051101683237618545,3.47
-5.19,0.2131747781722595,5.65
5.06,-0.3243545566215289,5.59
-41.96,0.21270583941662835,7.55
-27.68,0.3122962092375019,4.5
-14.06,0.39715266129084625,4.98
-2.45,-0.41994666869422304,4.02
2.96,-0.32926940961638707,6.63
3.0,-0.33500636060477973,5.42
-4.74,-0.3330054582086177,5.17
-3.99,-0.24914945731100602,3.79
0.63,-0.24723950503917536,3.5
6.91,0.03161353041690518,4.53
4.42,0.03343253260675283,6.4
4.39,0.11465098032272181,5.13
-4.32,0.11646998251259788,5.39
-4.29,0.2156965518785512,6.7
-7.91,0.2174246039440959,7.78
-2.96,0.30546430984026074,5.56
-2.13,0.30764711248505705,6.5
-3.0,0.38904746040728355,4.57
-3.49,0.3909574126791142,5.05
3.79,-0.06107172518764514,4.87
2.03,-0.059161772873466134,4.47
-1.42,0.20968675051719288,6.46
-1.12,0.21159670283137189,6.55
-0.14,0.2975445562071002,4.11
-0.89,0.2994545085212792,3.74
2.14,0.2992655141844409,4.39
-4.07,0.3011754664986199,5.26
-1.34,0.38876042185793835,8.03
-4.15,0.3908522743784033,6.21
3.54,-0.33829829979245574,3.71
0.32,-0.3363883475206251,3.87
2.35,-0.24762104071461977,3.16
-3.64,-0.2457110884427891,4.46
2.56,-0.24389208625291303,4.11
8.84,-0.4756058619024941,4.97
-2.0,-0.3861109542290251,4.49
5.97,-0.2043016855364499,3.32
1.19,-0.39975701767590976,4.32
-0.19,-0.3021675502935466,3.6
0.59,-0.21412784439735333,3.7
-4.2,0.2453450142163831,7.63
-12.43,0.3376593752778092,6.44
-9.61,0.43061038708236765,8.0
2.92,-0.47971280503784897,8.0
4.3,-0.3880350947619604,5.17
1.37,0.23969901335229338,3.93
14.04,0.24151801554216945,10.39
-13.68,0.4241458352265113,23.3
9.06,-0.22678764486494174,3.62
-3.99,-0.12765202562329137,6.03
5.39,-0.04516027637868092,7.27
3.67,-0.037247616876044276,6.67
1.54,0.1358304413220992,7.11
7.69,-0.22342958494635923,4.17
0.2,-0.22133773242589427,4.22
-7.78,0.32108872009987977,6.95
-0.44,0.3228167721654245,5.92
12.56,-0.49773866195073424,3.88
-1.39,-0.49591965976085817,3.66
-4.6,0.13772975246160968,7.72
0.27,0.1396397047757887,10.69
5.36,-0.3172971919552481,3.97
8.09,-0.3096573827408804,5.44
1.69,-0.2258923320099484,3.8
10.31,-0.21925297399366173,3.97
4.75,-0.13621552413019344,3.14
4.33,-0.1277571639240307,3.55
7.15,0.44691146614616173,3.59
6.95,-0.4585913701476443,4.42
14.51,-0.2552423870449161,4.25
5.77,0.09727314290653055,3.89
2.85,-0.3619375065512571,2.89
