RVel,orb_phase,RVel_err
-8.239,0.23747203990603793,2.275
-18.365,0.32309765319445205,2.503
-13.028,0.37232556185250587,2.385
4.096,-0.036528247,2.272
-9.916,0.00606212,2.048
4.017,-0.432834634,1.791
4.343,-0.371350368,2.42
-22.189,0.20761539556218622,1.935
-20.507,0.26250008446942275,1.943
11.374,-0.153187419,2.63
4.76,-0.10421261,3.107
2.357,0.48712973351632627,1.973
-10.507,0.088077214,4.646
-9.683,0.10183318728383028,1.913
-10.427,0.15850222969294236,1.329
1.133,0.008921103,3.634
-6.75,0.062325158348357945,3.105
8.035,-0.360088472,2.516
11.092,-0.312904344,2.729
-22.627,0.2685987453106691,2.95
1.363,-0.098942851,2.54
1.018,-0.060351461,2.226
5.105,-0.458182774,2.297
-7.224,0.10890080269621194,4.343
1.465,-0.292764972,2.829
7.529,-0.373363752,3.14
0.06,-0.019433641,3.473
0.846,-0.122956933,2.713
-15.413,0.14338356066190272,2.866
-5.816,0.050218377,2.74
13.158,-0.316114668,2.044
3.982,-0.049584349,6.943
9.821,-0.153689771,2.126
9.504,-0.395620031,2.199
1.868,-0.128039348,2.44
-11.515,0.13075244492739557,1.792
8.875,-0.145782042,3.863
12.844,-0.265952973,2.492
-3.742,0.022824817318110036,2.845
13.917,-0.34948771,2.846
0.605,-0.466501221,2.803
-16.811,0.1874516821409884,3.727
-18.739,0.3400879445332521,4.381
13.195,-0.252672802,2.412
-7.338,0.3849361828317228,2.335
7.348,-0.350691174,2.364
-9.839,0.28721520278355683,2.039
-3.385,-0.454233449,1.839
-19.487,0.1854825911044884,4.126
10.578,-0.453738614,2.425
2.661,0.062895848,2.456
7.954,-0.205318825,2.184
2.529,-0.129049292,3.154
-20.555,0.2977482478307891,1.854
11.251,-0.281427367,2.281
2.38,-0.044768303,4.468
-22.588,0.2013398622624507,7.021
17.966,-0.329101389,5.351
8.01,-0.494022843,4.229
0.759,0.4499100746716067,2.174
2.452,-0.036671071,3.507
-0.489,-0.39281685,2.85
-6.654,0.11887583864159978,3.244
-8.012,0.057812762460287104,2.854
8.543,-0.307425626,3.846
-17.516,0.29426217158089685,2.44
0,-0.059763896,2.256
-3.734,-0.421591764,4.328
-26.721,0.20796864693556927,4.801
0.91,-0.154226216,3.286
-29.116,0.41873964627876603,5.686
-15.538,0.3221574191217087,2.618
-4.437,-0.046491489,3.148
3.946,-0.415102431,3.919
-4.939,0.4822158327809234,4.175
-11.691,0.097722878,3.373
-4.088,0.004481765,3.135
-34.263,0.14369741072630404,12.27
16.502,-0.207051015,6.543
-23.298,0.4103479519833968,5.981
2.204,-0.048903504,5.295
7.458,-0.420450405,5.189
-7.313,0.48184127040531166,6.698
-2,-0.263789856,4.722
-8.118,0.001778684,3.47
0.565,-0.357106899,3.257
-15.435,0.2692834371832191,4.393
-40.632,-0.47195008,10.666
-14.185,0.16558297465638816,11.873
-3.04,0.4323980307757438,7.83
-7.473,0.003753837,3.67
5.686,-0.359061121,4.633
-23.837,0.23718503107488687,3.128
17.265,-0.143410187,2.447
-1.122,-0.48502171,2.572
-14.593,0.16097120546464794,3.506
15.071,-0.181630931,4.955
-0.038,0.4604136272657797,3.199
0.576,-0.24365323,6.646
-19.649,0.30521896894651945,3.936
-22.415,0.43834104157485854,5.774
2.591,-0.310782861,3.019
3.887,-0.010716821,3.324
2.596,-0.085013415,4.229
0.096,-0.481826002,3.565
13.794,-0.237562137,3.314
0,0.028101315137064375,2.453
-22.856,0.26673370992466516,5.768
10.923,-0.180900466,3.767
-10.688,0.40066589802472663,3.638
-7.604,0.050398362374153294,3.993
11.461,-0.300704403,3.728
-12.003,0.3587597486027789,2.678
3.859,-0.472880165,2.813
-19.918,0.15689538140009063,4.012
13.802,-0.284559117,3.835
-22.81,0.3534358451938715,4.781
-2.698,-0.01534594,3.911
-4.28,-0.471402011,6.269
-14.062,0.1847022401675531,8.558
-6.962,0.2777204489948417,2.732
18.17,-0.093687246,3.121
-8.982,0.1460018399989167,2.704
13.645,-0.199627642,2.659
-5.793,0.42881913017913575,3.079
9.589,-0.385535112,2.393
10.414,-0.356922181,2.02
-11.91,0.2183926186289682,4.537
-9.95,0.2467018298543735,4.605
12.746,-0.445230329,5.978
-11.661,0.13995536200582137,2.935
21.695,-0.192107971,3.239
-9.862,0.41400274455168073,3.71
-1.512,0.044923567,2.664
3.74,-0.292981088,5.401
-7.934,0.3341369104714431,3.002
-0.211,-0.035119437,2.857
5.497,-0.384342936,2.959
-16.604,0.27666512412179145,4.181
5.951,-0.460493486,2.551
15.2,-0.192969751,2.484
-9.661,0.3342189717495785,2.85
8.651,-0.410393428,2.195
15.364,-0.147577348,3.164
-7.888,0.11452372452185955,2.728
12.879,-0.240128765,3.569
7.677,-0.033007294,3.13
11.609,-0.36448217,3.041
-20.898,0.25558067163865417,8.64
-2.473,0.45397104810604105,2.227
-8.433,0.12997422635635303,2.74
-4.449,0.4100264013584365,2.669
16.037,-0.352005591,3.137
-16.264,0.2348505588581702,2.482
18.908,-0.146915245,2.911
-4.24,-0.477428615,7.92
16.092,-0.255266689,2.181
15.791,-0.379525181,3.644
-15.725,0.41571610989035435,6.335
10.294,-0.391937315,4.483
2.685,0.4876627237035791,2.902
8.079,-0.145809319,7.133
19.435,-0.253527741,3.853
8.509,-0.219247659,3.574
-11.219,0.43389532482615323,3.3
