RVel,orb_phase,RVel_err
-13.964,-0.019479317,1.542
186.717,-0.307172953,1.48
153.226,-0.145407044,1.609
121.542,-0.110043404,1.139
-202.928,0.21939374293464198,1.244
-203.187,0.22119670158241433,1.139
-126.301,0.099282879,1.205
15.243,-0.019641566,1.228
-84.16,0.43199955417027525,1.18
125.535,-0.118613024,1.259
-206.994,0.33798623154896745,1.302
-2.524,-0.486634598,1.217
159.489,-0.292089045,1.193
-141.263,0.092391868,1.107
53.3,-0.437937427,1.157
179.802,-0.321072812,1.224
57.606,-0.05136601,0.787
57.726,-0.050464531,0.802
56.423,-0.049563051,0.832
56.045,-0.048210832,0.755
54.711,-0.047309353,0.848
52.911,-0.045957134,0.798
50.628,-0.045055655,0.789
42.772,-0.035139383,0.726
38.559,-0.034237904,0.76
36.305,-0.032885685,0.746
37.873,-0.031984205,0.741
34.16,-0.031082726,0.818
33.982,-0.029730507,0.768
32.973,-0.028829028,0.657
30.196,-0.027476809,0.74
29.968,-0.02657533,0.662
28.832,-0.025223111,0.651
28.517,-0.024321631,0.764
27.562,-0.022969412,0.772
26.713,-0.022067933,0.682
25.029,-0.021166454,0.682
24.544,-0.019814235,0.749
20.275,-0.018912756,0.661
21.667,-0.017560537,0.855
28.013,-0.016659058,0.803
31.972,-0.015306839,0.78
39.982,-0.01395462,0.797
45.933,-0.01305314,0.816
47.08,-0.011700921,0.857
49.13,-0.010348703,0.87
45.655,-0.009447223,0.982
42.26,-0.008095004,0.994
34.659,-0.006742785,0.965
27.992,-0.005841306,0.987
18.132,-0.004489087,0.905
7.218,-0.003136868,0.858
-0.572,-0.001784649,1.007
-5.327,-0.000432431,0.846
-24.613,0.001821268,0.751
-34.63,0.003173487,0.885
-41.573,0.004525706,0.935
-45.183,0.005877924,0.842
-47.586,0.007230143,0.972
-47.746,0.008582362,1.009
-44.215,0.009934581,0.928
-37.956,0.011286800174156397,0.82
-30.035,0.012639019107522742,0.943
-27.041,0.013991238,0.89
-25.215,0.015343456974251879,0.985
-24.08,0.016695675907616447,0.961
-22.205,0.018047894840982792,0.892
-27.297,0.019400114,0.866
-28.557,0.020752333,0.907
-29.194,0.022104551431185726,0.822
-33.236,0.023456770364550295,0.807
-33.07,0.024358249793388964,0.638
-31.439,0.025710468726753533,0.847
-36.218,0.027062688,0.712
-39.051,0.028414906593484446,0.757
-41.663,0.029767125316956466,0.9
-42.919,0.031119344250321035,0.748
-45.15,0.032471563,0.876
-42.636,0.033373043,0.956
-43.977,0.034725262,0.818
-47.332,0.036077480479255186,0.828
-58.55,0.044190794,0.715
-69.951,0.053656326403109134,0.771
-79.481,0.064023338,0.754
-95.622,0.075291829,0.75
-112.396,0.088814018,0.898
