HJD,BJD,orb_phase,norm_flux,norm_flux_err
2455396.348,2455396.349,-0.026360343,1.005617103,0.002
2455396.348,2455396.349,-0.026360343,0.999983079,0.002
2455396.349,2455396.35,-0.025727593,0.998820354,0.002
2455396.35,2455396.351,-0.025094844,0.995089439,0.002
2455396.351,2455396.352,-0.024462095,1.000176971,0.002
2455396.351,2455396.352,-0.024462095,1.002113357,0.002
2455396.352,2455396.353,-0.023829345,1.000395167,0.002
2455396.353,2455396.354,-0.023196596,1.001812208,0.002
2455396.353,2455396.354,-0.023196596,0.995007421,0.002
2455396.354,2455396.355,-0.022563846,1.000463054,0.002
2455396.355,2455396.356,-0.021931097,1.001418917,0.002
2455396.356,2455396.357,-0.021298347,0.997035282,0.002
2455396.356,2455396.357,-0.021298347,1.002745051,0.002
2455396.357,2455396.358,-0.020665598,1.000104229,0.002
2455396.358,2455396.359,-0.020032848,1.0023514,0.002
2455396.358,2455396.359,-0.020032848,1.000967556,0.002
2455396.359,2455396.36,-0.019400099,0.998699285,0.002
2455396.36,2455396.361,-0.018767349,0.998181409,0.002
2455396.36,2455396.361,-0.018767349,1.000390312,0.002
2455396.361,2455396.362,-0.0181346,0.999503262,0.002
2455396.362,2455396.363,-0.01750185,0.999629249,0.002
2455396.362,2455396.363,-0.01750185,0.996687371,0.002
2455396.363,2455396.364,-0.016869101,1.004277412,0.002
2455396.364,2455396.365,-0.016236351,1.001724821,0.002
2455396.364,2455396.365,-0.016236351,1.004034036,0.002
2455396.365,2455396.366,-0.015603602,0.999270752,0.002
2455396.366,2455396.367,-0.014970852,0.999212635,0.002
2455396.367,2455396.368,-0.014338103,0.999983097,0.002
2455396.367,2455396.368,-0.014338103,0.997958908,0.002
2455396.368,2455396.369,-0.013705354,0.998728403,0.002
2455396.369,2455396.37,-0.013072604,0.998854301,0.002
2455396.369,2455396.37,-0.013072604,0.998946303,0.002
2455396.37,2455396.371,-0.012439855,0.997325417,0.002
2455396.371,2455396.372,-0.011807105,0.998922122,0.002
2455396.371,2455396.372,-0.011807105,1.000395273,0.002
2455396.372,2455396.373,-0.011174356,0.99757688,0.002
2455396.373,2455396.374,-0.010541606,0.99917399,0.002
2455396.373,2455396.374,-0.010541606,0.998162202,0.002
2455396.374,2455396.375,-0.009908857,0.994525368,0.002
2455396.375,2455396.376,-0.009276107,0.993735057,0.002
2455396.375,2455396.376,-0.009276107,0.995292224,0.002
2455396.376,2455396.377,-0.008643358,0.988656344,0.002
2455396.377,2455396.378,-0.008010608,0.990421602,0.002
2455396.378,2455396.379,-0.007377859,0.990455234,0.002
2455396.378,2455396.379,-0.007377859,0.988814557,0.002
2455396.379,2455396.38,-0.006745109,0.98730105,0.002
2455396.38,2455396.381,-0.00611236,0.986879999,0.002
2455396.38,2455396.381,-0.00611236,0.983975641,0.002
2455396.381,2455396.382,-0.00547961,0.988095897,0.002
2455396.382,2455396.383,-0.004846861,0.983227112,0.002
2455396.384,2455396.385,-0.003581362,0.985197601,0.002
2455396.384,2455396.385,-0.003581362,0.983746829,0.002
2455396.385,2455396.386,-0.002948613,0.982331558,0.002
2455396.386,2455396.387,-0.002315863,0.987081125,0.002
2455396.386,2455396.387,-0.002315863,0.983360699,0.002
2455396.387,2455396.388,-0.001683114,0.983303532,0.002
2455396.388,2455396.389,-0.001050364,0.980984966,0.002
2455396.388,2455396.389,-0.001050364,0.981979342,0.002
2455396.389,2455396.39,-0.000417615,0.983551498,0.002
2455396.39,2455396.391,0.000215135,0.983766111,0.002
2455396.39,2455396.391,0.000215135,0.984944723,0.002
2455396.391,2455396.392,0.000847884,0.984071403,0.002
2455396.392,2455396.393,0.001480634,0.984648822,0.002
2455396.393,2455396.394,0.002113383,0.985226581,0.002
2455396.393,2455396.394,0.002113383,0.984682275,0.002
2455396.394,2455396.395,0.002746133,0.986167931,0.002
2455396.395,2455396.396,0.003378882,0.983933238,0.002
2455396.395,2455396.396,0.003378882,0.984205146,0.002
2455396.396,2455396.397,0.004011632,0.982879751,0.002
2455396.397,2455396.398,0.004644381,0.986450153,0.002
2455396.397,2455396.398,0.004644381,0.985178997,0.002
2455396.398,2455396.399,0.005277131,0.986301973,0.002
2455396.399,2455396.4,0.00590988,0.985881369,0.002
