JD,RVel,RVel_err
2452832.882,-13.964,1.542
2452898.801,186.717,1.48
2453180.919,153.226,1.609
2453240.899,121.542,1.139
2453303.75,-202.928,1.244
2453303.754,-203.187,1.139
2453551.964,-126.301,1.205
2453693.689,15.243,1.228
2453694.691,-84.16,1.18
2453695.688,125.535,1.259
2453696.701,-206.994,1.302
2453723.713,-2.524,1.217
2453926.035,159.489,1.193
2453926.888,-141.263,1.107
2453927.93,53.3,1.157
2453934.845,179.802,1.224
2453968.722,57.606,0.787
2453968.724,57.726,0.802
2453968.726,56.423,0.832
2453968.729,56.045,0.755
2453968.731,54.711,0.848
2453968.734,52.911,0.798
2453968.736,50.628,0.789
2453968.758,42.772,0.726
2453968.76,38.559,0.76
2453968.763,36.305,0.746
2453968.765,37.873,0.741
2453968.767,34.16,0.818
2453968.77,33.982,0.768
2453968.772,32.973,0.657
2453968.775,30.196,0.74
2453968.777,29.968,0.662
2453968.78,28.832,0.651
2453968.782,28.517,0.764
2453968.785,27.562,0.772
2453968.787,26.713,0.682
2453968.789,25.029,0.682
2453968.792,24.544,0.749
2453968.794,20.275,0.661
2453968.797,21.667,0.855
2453968.799,28.013,0.803
2453968.802,31.972,0.78
2453968.805,39.982,0.797
2453968.807,45.933,0.816
2453968.81,47.08,0.857
2453968.813,49.13,0.87
2453968.815,45.655,0.982
2453968.818,42.26,0.994
2453968.821,34.659,0.965
2453968.823,27.992,0.987
2453968.826,18.132,0.905
2453968.829,7.218,0.858
2453968.832,-0.572,1.007
2453968.835,-5.327,0.846
2453968.84,-24.613,0.751
2453968.843,-34.63,0.885
2453968.846,-41.573,0.935
2453968.849,-45.183,0.842
2453968.852,-47.586,0.972
2453968.855,-47.746,1.009
2453968.858,-44.215,0.928
2453968.861,-37.956,0.82
2453968.864,-30.035,0.943
2453968.867,-27.041,0.89
2453968.87,-25.215,0.985
2453968.873,-24.08,0.961
2453968.876,-22.205,0.892
2453968.879,-27.297,0.866
2453968.882,-28.557,0.907
2453968.885,-29.194,0.822
2453968.888,-33.236,0.807
2453968.89,-33.07,0.638
2453968.893,-31.439,0.847
2453968.896,-36.218,0.712
2453968.899,-39.051,0.757
2453968.902,-41.663,0.9
2453968.905,-42.919,0.748
2453968.908,-45.15,0.876
2453968.91,-42.636,0.956
2453968.913,-43.977,0.818
2453968.916,-47.332,0.828
2453968.934,-58.55,0.715
2453968.955,-69.951,0.771
2453968.978,-79.481,0.754
2453969.003,-95.622,0.75
2453969.033,-112.396,0.898
