RVel,RVel_err,orb_phase
1.74,0.46,-0.06619095
1.37,0.4,-0.06278291
-2.38,0.4,0.3508720151728042
-1.98,0.34,0.3535984471731979
-0.58,0.27,0.051565006
-1.02,0.4,0.054973046
4.14,0.3,-0.284548833
4.17,0.46,-0.281140793
-2.26,0.72,0.3643419517700366
-1.73,0.38,0.36979481577083106
-1.82,0.52,0.3752476794542261
-1.95,0.32,0.38138215121706764
-1.09,0.34,0.043223487811538064
-0.76,0.28,0.048676351
-0.91,0.26,0.054810823257774643
-1.02,0.23,0.060263687
2.82,1.16,-0.279258192
2.87,0.7,-0.269034073
3.16,0.64,-0.262899601
-0.29,0.38,0.4555151970458837
-0.14,0.39,0.4589232368083316
-1.2,0.22,0.4636944924122801
-0.08,0.31,0.46914735609567515
-0.29,0.31,0.4746002200964625
0.21,0.42,0.48005308377985756
-2.48,0.41,0.1303070849280914
-2.95,0.56,0.13371512469053926
-2.88,0.45,0.13644155669093294
-2.06,0.5,0.1398495964533808
-2.44,0.47,0.14325763621582865
-3.15,0.27,0.14802889213717663
-3.07,0.26,0.15348175582057166
4.3,0.51,-0.228299817
2.93,0.64,-0.224891778
4.03,0.48,-0.222165346
2.75,0.19,-0.21739409
2.73,0.41,-0.145825253
2.21,0.39,-0.139690782
2.44,0.3,-0.134237918
-0.29,0.39,0.4417208149087415
-0.7,0.39,0.44512885467118934
-0.68,0.34,0.4485368944336372
-1.13,0.34,0.45194493419608506
-1.7,0.4,0.45467136619647874
0.51,0.35,-0.486710348
0.09,0.32,-0.483302309
0.14,0.33,-0.480575877
0.17,0.25,-0.477167837
0.68,0.42,-0.473759797
-2.16,0.36,0.11174144718700774
-2.44,0.36,0.11514948694945559
-2.37,0.26,0.11787591894984928
-2.38,0.24,0.12128395871229714
-2.45,0.32,0.12469199847474499
-3.45,0.5,0.20648495467785466
-3.37,0.61,0.2119378183612497
-3.55,0.55,0.21739068204464473
3.97,0.33,-0.204605761
3.85,0.28,-0.201197721
3.16,0.42,-0.197789682
3.36,0.41,-0.194381642
3.58,0.39,-0.19165521
1.52,0.38,-0.083279543
1.24,0.39,-0.077826679
1.05,0.4,-0.072373816
