pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,1,Astrometry,2013,Paranal Observatory,Published Confirmed,0,<a refstr=SAHLMANN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.133S/abstract target=ref> Sahlmann et al. 2013 </a>,246.36,1.38,-1.35,0,0.36,0.01,-0.01,0,,,,,,,,,9057.77,603.85,-603.85,0,28.5,1.9,-1.9,0,Mass,0.345,0.068,-0.064,0,,,,,,,,,0,<a refstr=SAHLMANN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.133S/abstract target=ref> Sahlmann et al. 2013 </a>,L1.5,,,,,,,,,0.075,0.007,-0.007,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h23m02.90s,125.7620668,-49d12m01.08s,-49.2003008,,,,,,,12.062,0.023,-0.023,18.5577,0.002909,-0.002909,5/14/14,2013-08,5/14/14
GJ 896 A b,GJ 896 A,1,2,1,Astrometry,2022,Very Long Baseline Array,Published Confirmed,0,<a refstr=CURIEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...93C/abstract target=ref>Curiel et al. 2022</a>,284.39,1.47,-1.47,0,0.63965,0.00067,-0.00067,0,,,,,,,,,718.2921998,181.162192,-181.162192,0,2.26,0.57,-0.57,0,Mass,0.35,0.19,-0.19,0,,,,,,,,,0,<a refstr=CURIEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...93C/abstract target=ref>Curiel et al. 2022</a>,M3.5 V,,,,,,,,,0.43599,0.00092,-0.00092,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m52.81s,352.9700384,+19d56m13.20s,19.9370011,6.26022,0.003265,-0.003265,10.05,0.1,-0.1,5.326,0.018,-0.018,9.03758,0.000673,-0.000673,9/14/22,2022-09,9/14/22
Gaia-4 b,Gaia-4,1,1,1,Astrometry,2025,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=STEF_AMP_AACUTE_NSSON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..107S/abstract target=ref>Stef&aacute;nsson et al. 2025</a>,571.3,1.4,-1.3,0,,,,,,,,,,,,,3750.375203,232.0147371,-209.7667486,0,11.8,0.73,-0.66,0,Mass,0.338,0.026,-0.023,0,,,,,,,,,0,<a refstr=STEF_AMP_AACUTE_NSSON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..107S/abstract target=ref>Stef&aacute;nsson et al. 2025</a>,,4034,77,-77,0,0.624,0.014,-0.015,0,0.644,0.025,-0.023,0,0.05,0.13,-0.13,0,[Fe/H],4.68,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h58m01.53s,209.5063762,+31d41m43.76s,31.6954898,73.4829,0.1536,-0.1529,12.405,0.069,-0.069,9.135,0.019,-0.019,11.9187,0.000365,-0.000365,2/12/25,2025-02,2/12/25
Gaia-5 b,Gaia-5,1,1,1,Astrometry,2025,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=STEF_AMP_AACUTE_NSSON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..107S/abstract target=ref>Stef&aacute;nsson et al. 2025</a>,358.62,0.2,-0.2,0,,,,,,,,,,,,,6633.078854,168.4490557,-165.2707716,0,20.87,0.53,-0.52,0,Mass,0.6423,0.0026,-0.0026,0,,,,,,,,,0,<a refstr=STEF_AMP_AACUTE_NSSON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..107S/abstract target=ref>Stef&aacute;nsson et al. 2025</a>,,3447,77,-77,0,0.345,0.013,-0.013,0,0.339,0.027,-0.03,0,-0.18,0.13,-0.13,0,[Fe/H],4.83,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h08m09.80s,302.0408173,+41d56m29.56s,41.9415455,41.1813,0.097,-0.0965,14.61,0.2,-0.2,9.754,0.018,-0.018,13.2287,0.000478,-0.000478,2/12/25,2025-02,2/12/25
HD 128717 b,HD 128717,1,1,1,Astrometry,2025,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=PINAMONTI_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A..67P/abstract target=ref>Pinamonti et al. 2026</a>,3420,20,-20,0,4.85,0.02,-0.01,0,,,,,,,,,6293.002459,158.9142035,-158.9142035,0,19.8,0.5,-0.5,0,Mass,0.85,0.002,-0.002,0,,,,,,,,,0,<a refstr=PINAMONTI_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A..67P/abstract target=ref>Pinamonti et al. 2026</a>,,6210,40,-40,0,1.248,0.024,-0.024,0,1.212,0.058,-0.068,0,0.16,0.08,-0.08,0,[Fe/H],4.329,0.025,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h36m21.16s,219.0881687,+57d33m39.42s,57.5609512,73.636,0.1689,-0.168,8.32,0.03,-0.03,7.039,0.029,-0.029,8.18929,0.000256,-0.000256,1/8/26,2026-03,1/8/26
HIP 66074 b,HIP 66074,1,1,1,Astrometry,2023,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=SOZZETTI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677L..15S/abstract target=ref>Sozzetti et al. 2023</a>,310.9,21.7,-17.7,0,0.799,0.035,-0.035,0,,,,,,,,,1589.142035,635.656814,-635.656814,0,5,2,-2,0,Mass,0.948,0.004,-0.004,0,,,,,,,,,0,<a refstr=SOZZETTI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677L..15S/abstract target=ref>Sozzetti et al. 2023</a>,,4300,60,-60,0,0.69,0.013,-0.012,0,0.705,0.025,-0.023,0,0.12,0.05,-0.05,0,[Fe/H],4.58,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h32m39.26s,203.1635632,+75d00m25.57s,75.0071038,35.4438,0.0261,-0.026,10.25,0.03,-0.03,7.182,0.016,-0.016,9.74727,0.00032,-0.00032,10/24/23,2023-09,10/24/23
HD 97048 b,HD 97048,1,1,1,Disk Kinematics,2019,Atacama Large Millimeter Array (ALMA),Published Confirmed,0,<a refstr=PINTE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1109P/abstract target=ref>Pinte et al. 2019</a>,,,,,130,,,0,,,,,,,,,794.575,158.915,-158.915,0,2.5,0.5,-0.5,0,Mass,,,,,,,,,,,,,0,<a refstr=PINTE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1109P/abstract target=ref>Pinte et al. 2019</a>,Be9.5/AO,10000,,,0,2.25,,,0,2.4,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h08m03.20s,167.0133422,-77d39m17.47s,-77.654853,183.857,1.331,-1.313,8.44,0.03,-0.03,5.941,0.029,-0.029,8.33867,0.000575,-0.000575,10/18/19,2019-08,10/24/19
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,Kepler,Published Confirmed,0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,406,4,-4,0,,,,,,,,,,,,,591.160837,15.89142035,-15.89142035,0,1.86,0.05,-0.05,0,Msini,0.33,0.05,-0.05,0,,,,,,,,,0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,29564,,,0,0.203,0.001,-0.001,0,0.48,,,0,,,,,,5.508,0.012,-0.012,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332,6.3885,-6.3885,12.651,0.215,-0.215,12.955,0.029,-0.029,12.1376,0.003687,-0.003687,4/19/22,2022-04,4/19/22
DP Leo b,DP Leo,1,2,1,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,Published Confirmed,0,<a refstr=BEUERMANN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...526A..53B/abstract target=ref> Beuermann et al. 2011 </a>,10220.00000000000,730,-730,0,8.19,0.39,-0.39,0,,,,,,,,,1922.79,149.37,-149.37,0,6.05,0.47,-0.58,0,Msini,0.39,0.13,-0.13,0,,,,,,,,,0,<a refstr=BEUERMANN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...526A..53B/abstract target=ref> Beuermann et al. 2011 </a>,,,,,,,,,,0.69,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h17m15.89s,169.3162193,+17d57m41.66s,17.9615717,305.684,33.554,-27.604,18.6837,0.0496,-0.0496,,,,18.6333,0.015748,-0.015748,5/14/14,2011-02,5/14/14
Kepler-1660 AB b,Kepler-1660 A,1,2,1,Eclipse Timing Variations,2023,Kepler,Published Confirmed,0,<a refstr=GOLDBERG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.4628G/abstract target=ref>Goldberg et al. 2023</a>,239.5044,0.0686,-0.0686,0,,,,,,,,,,,,,1586.599408,73.10053361,-73.10053361,0,4.992,0.23,-0.23,0,Mass,0.05541,0.00147,-0.00147,0,,,,,,,,,0,<a refstr=GOLDBERG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.4628G/abstract target=ref>Goldberg et al. 2023</a>,,,,,,1.491,0.072,-0.072,0,1.1366,0.0728,-0.0728,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m12.47s,290.5519537,+40d14m06.16s,40.2350445,1188.54,21.12,-21.12,13.595,0.103,-0.103,12.215,0.024,-0.024,13.4394,0.000215,-0.000215,4/19/24,2023-11,4/19/24
