,flux,lambda_obs,lambda_rest
0,1.0812869,3637.8945257913756,3650.0496
1,1.0872079,3637.954627711537,3650.1099
2,1.0980517,3638.0164329249824,3650.1719
3,1.1544931,3638.0762915175314,3650.232
4,1.1544931,3638.1363934376927,3650.2922
5,1.1544931,3638.1981986511382,3650.3542
6,1.1544931,3638.2580572436877,3650.4143
7,1.1424356,3638.318159163849,3650.4746
8,1.1424356,3638.3799643772945,3650.5366
9,1.143577,3638.4398229698436,3650.5967
10,1.1625638,3638.501871510901,3650.659
11,1.1625638,3638.5617301034504,3650.719
12,1.203317,3638.621588696,3650.779
13,1.203317,3638.683637237057,3650.8413
14,1.2095975,3638.7434958296067,3650.9014
15,1.2182664,3638.805544370664,3650.9636
16,1.2337381,3638.865402963213,3651.0237
17,1.2071284,3638.9252615557625,3651.0837
18,1.2071284,3638.98731009682,3651.146
19,1.2071284,3639.0471686893693,3651.206
20,1.2071284,3639.107027281919,3651.266
21,1.2085922,3639.169075822976,3651.3284
22,1.2085922,3639.228934415525,3651.3884
23,1.2108088,3639.2909829565824,3651.4507
24,1.2186755,3639.350841549132,3651.5107
25,1.2186755,3639.4107001416814,3651.5708
26,1.2090803,3639.4727486827387,3651.633
27,1.2090803,3639.5326072752882,3651.693
28,1.2250861,3639.5927091954495,3651.7534
29,1.2250861,3639.6545144088946,3651.8154
30,1.251214,3639.714373001444,3651.8755
31,1.2421284,3639.7764215425013,3651.9377
32,1.2421284,3639.836280135051,3651.9978
33,1.2421284,3639.896382055212,3652.058
34,1.2421284,3639.9581872686576,3652.12
35,1.2443804,3640.018289188819,3652.1804
36,1.2443804,3640.0781477813684,3652.2405
37,1.2683108,3640.1401963224257,3652.3027
38,1.2683108,3640.2000549149748,3652.3628
39,1.2852252,3640.262103456032,3652.425
40,1.2872422,3640.3219620485816,3652.485
41,1.2872422,3640.381820641131,3652.5452
42,1.3090767,3640.4438691821883,3652.6074
43,1.3090767,3640.503727774738,3652.6675
44,1.2952898,3640.565776315795,3652.7297
45,1.3585907,3640.625634908344,3652.7898
46,1.3585907,3640.685736828506,3652.85
47,1.3585907,3640.747542041951,3652.912
48,1.3585907,3640.8076439621123,3652.9724
49,1.3500068,3640.8675025546618,3653.0325
50,1.3500068,3640.929551095719,3653.0947
51,1.3519201,3640.9894096882686,3653.1548
52,1.3519201,3641.051458229326,3653.217
53,1.3608171,3641.1113168218753,3653.277
54,1.3676403,3641.1714187420366,3653.3374
55,1.3676403,3641.233467283094,3653.3997
56,1.3707461,3641.2933258756434,3653.4597
57,1.3707461,3641.3534277958047,3653.52
58,1.388217,3641.4152330092497,3653.582
59,1.4046956,3641.4753349294115,3653.6423
60,1.4046956,3641.5371401428565,3653.7043
61,1.4046956,3641.597242063018,3653.7646
62,1.4046956,3641.6571006555673,3653.8247
63,1.4010773,3641.7191491966246,3653.887
64,1.4010773,3641.779007789174,3653.947
65,1.3892562,3641.8410563302314,3654.0093
66,1.3892562,3641.9011582503927,3654.0696
67,1.3771604,3641.961016842942,3654.1296
68,1.3771564,3642.0230653839994,3654.192
69,1.3690269,3642.082923976549,3654.252
70,1.3685178,3642.1430258967102,3654.3123
71,1.3606826,3642.2050744377675,3654.3745
72,1.3567704,3642.264933030317,3654.4346
73,1.3567704,3642.3269815713743,3654.4968
74,1.3567704,3642.3868401639234,3654.557
75,1.3567704,3642.446942084085,3654.6172
76,1.3771495,3642.5089906251424,3654.6794
77,1.3771495,3642.5688492176914,3654.7395
78,1.3801934,3642.628951137853,3654.7998
79,1.3837624,3642.6909996789104,3654.862
80,1.3837624,3642.7508582714595,3654.922
81,1.3812214,3642.8129068125168,3654.9844
