mass,radius
0.05,0.401411
0.075,0.456084
0.1,0.499085
0.125,0.53464
0.15,0.564443
0.175,0.590825
0.2,0.614618
0.225,0.63637
0.25,0.656462
0.275,0.675172
0.3,0.69271
0.325,0.709237
0.35,0.724884
0.375,0.739755
0.4,0.753934
0.425,0.767495
0.45,0.780497
0.475,0.792992
0.5,0.805023
0.525,0.81663
0.55,0.827846
0.575,0.838701
0.6,0.849219
0.625,0.859426
0.65,0.869341
0.675,0.878984
0.7,0.88837
0.725,0.897516
0.75,0.906377
0.775,0.915007
0.8,0.923431
0.825,0.931662
0.85,0.939708
0.875,0.947578
0.9,0.955283
0.925,0.962828
0.95,0.970221
0.975,0.977469
1,0.984579
1.025,0.991556
1.05,0.998405
1.075,1.00513
1.1,1.01174
